#{"t_start": 1699825223.856306, "env_id": "None"}
r,l,t
-89.0,2,1.688972
-177.0,3,1.689969
-265.0,4,1.690967
-1849.0,22,1.694956
-529.0,7,1.695953
-705.0,9,1.697948
-617.0,8,1.699942
-793.0,10,1.701937
-1.0,1,1.701937
-1.0,1,1.701937
-1.0,1,1.701937
-89.0,2,1.702934
-177.0,3,1.702934
-89.0,2,1.702934
-177.0,3,1.704006
-1497.0,18,1.706985
